country,year,yield_tpha,crop
USA,1960,3.4331112,maize
USA,1961,3.9163828,maize
USA,1962,4.060736,maize
USA,1963,4.2615767,maize
USA,1964,3.9477642,maize
USA,1965,4.6507044,maize
USA,1966,4.5879416,maize
USA,1967,5.02728,maize
USA,1968,4.989622,maize
USA,1969,5.3913026,maize
USA,1970,4.5440083,maize
USA,1971,5.52938,maize
USA,1972,6.087967,maize
USA,1973,5.7302203,maize
USA,1974,4.512627,maize
USA,1975,5.4226837,maize
USA,1976,5.5231037,maize
USA,1977,5.698839,maize
USA,1978,6.339017,maize
USA,1979,6.8724985,maize
USA,1980,5.7113914,maize
USA,1981,6.8348413,maize
USA,1982,7.1047196,maize
USA,1983,5.090042,maize
USA,1984,6.696763,maize
USA,1985,7.40598,maize
USA,1986,7.493848,maize
USA,1987,7.518953,maize
USA,1988,5.309711,maize
USA,1989,7.299284,maize
USA,1990,7.4373612,maize
USA,1991,6.816012,maize
USA,1992,8.253275,maize
USA,1993,6.320188,maize
USA,1994,8.698889,maize
USA,1995,7.1235485,maize
USA,1996,7.977119,maize
USA,1997,7.952014,maize
USA,1998,8.435286,maize
USA,1999,8.397629,maize
USA,2000,8.592192,maize
USA,2001,8.673783,maize
USA,2002,8.115197,maize
USA,2003,8.924833,maize
USA,2004,10.060836,maize
USA,2005,9.282579,maize
USA,2006,9.357896,maize
USA,2007,9.458315,maize
USA,2008,9.621498,maize
USA,2009,10.318162,maize
USA,2010,9.577564,maize
USA,2011,9.213542,maize
USA,2012,7.726069,maize
USA,2013,9.922758,maize
USA,2014,10.732395,maize
USA,2015,10.569212,maize
USA,2016,10.958341,maize
USA,2017,11.083865,maize
USA,2018,11.071312,maize
USA,2019,10.512726,maize
USA,2020,10.7575,maize
USA,2021,11.090141,maize
USA,2022,10.883024,maize
USA,2023,11.127799,maize
USA,2024,11.2533245,maize
USA,1961,1.6070001,wheat
USA,1962,1.6809001,wheat
USA,1963,1.6949002,wheat
USA,1964,1.7344002,wheat
USA,1965,1.7853001,wheat
USA,1966,1.7688001,wheat
USA,1967,1.7375001,wheat
USA,1968,1.9116001,wheat
USA,1969,2.058,wheat
USA,1970,2.0865002,wheat
USA,1971,2.2829,wheat
USA,1972,2.1983001,wheat
USA,1973,2.1248002,wheat
USA,1974,1.8333001,wheat
USA,1975,2.0582001,wheat
USA,1976,2.0375001,wheat
USA,1977,2.0629,wheat
USA,1978,2.1136003,wheat
USA,1979,2.298,wheat
USA,1980,2.2513,wheat
USA,1981,2.3229,wheat
USA,1982,2.3859,wheat
USA,1983,2.6509001,wheat
USA,1984,2.6073003,wheat
USA,1985,2.5197,wheat
USA,1986,2.3167,wheat
USA,1987,2.5330002,wheat
USA,1988,2.2913,wheat
USA,1989,2.2024,wheat
USA,1990,2.6567001,wheat
USA,1991,2.3038,wheat
USA,1992,2.6433,wheat
USA,1993,2.5699,wheat
USA,1994,2.5270002,wheat
USA,1995,2.4065,wheat
USA,1996,2.4389,wheat
USA,1997,2.6574001,wheat
USA,1998,2.9034,wheat
USA,1999,2.8726003,wheat
USA,2000,2.8238,wheat
USA,2001,2.7018,wheat
USA,2002,2.3567002,wheat
USA,2003,2.9712,wheat
USA,2004,2.9026003,wheat
USA,2005,2.8231003,wheat
USA,2006,2.5986001,wheat
USA,2007,2.7046003,wheat
USA,2008,3.0175002,wheat
USA,2009,2.9897,wheat
USA,2010,3.1167002,wheat
USA,2011,2.9422002,wheat
USA,2012,3.1154,wheat
USA,2013,3.1673002,wheat
USA,2014,2.9378002,wheat
USA,2015,2.9299,wheat
USA,2016,3.5408003,wheat
USA,2017,3.1175,wheat
USA,2018,3.2005002,wheat
USA,2019,3.4746003,wheat
USA,2020,3.3417,wheat
USA,2021,2.9805002,wheat
USA,2022,3.1265001,wheat
USA,2023,3.2694001,wheat
