region,year,ndvi_mean
Ahmedabad_GJ,2000,0.2630134333722693
Ahmedabad_GJ,2001,0.2676796703403358
Ahmedabad_GJ,2002,0.2562444391966846
Ahmedabad_GJ,2003,0.2626365890072128
Ahmedabad_GJ,2004,0.2555502113653239
Ahmedabad_GJ,2005,0.2650150688325483
Ahmedabad_GJ,2006,0.2628847445668619
Ahmedabad_GJ,2007,0.2692060501686968
Ahmedabad_GJ,2008,0.2543216422933916
Ahmedabad_GJ,2009,0.2560498600557164
Ahmedabad_GJ,2010,0.2559843668491995
Ahmedabad_GJ,2011,0.2516246759084763
Ahmedabad_GJ,2012,0.2453446856882656
Ahmedabad_GJ,2013,0.2666645431486659
Ahmedabad_GJ,2014,0.2682141411184013
Ahmedabad_GJ,2015,0.2532695697039827
Ahmedabad_GJ,2016,0.2446101682407306
Ahmedabad_GJ,2017,0.2530446491168325
Ahmedabad_GJ,2018,0.238858756457982
Ahmedabad_GJ,2019,0.2551988348006525
Ahmedabad_GJ,2020,0.2810310518378093
Ahmedabad_GJ,2021,0.2682797037664805
Ahmedabad_GJ,2022,0.2603045210849423
Ahmedabad_GJ,2023,0.2533172133107699
Champaign_IL,2000,0.4412185568614055
Champaign_IL,2001,0.4033366324555651
Champaign_IL,2002,0.4248733138629492
Champaign_IL,2003,0.4094964934408813
Champaign_IL,2004,0.4215562651210449
Champaign_IL,2005,0.4003296403526348
Champaign_IL,2006,0.4324821083794945
Champaign_IL,2007,0.4191010594239766
Champaign_IL,2008,0.4096903222890033
Champaign_IL,2009,0.4146870646872841
Champaign_IL,2010,0.3643215464669547
Champaign_IL,2011,0.4055301348541252
Champaign_IL,2012,0.4368772532334875
Champaign_IL,2013,0.4197158587817157
Champaign_IL,2014,0.3986914143740567
Champaign_IL,2015,0.4206367860256378
Champaign_IL,2016,0.4530294325380709
Champaign_IL,2017,0.4427935095163209
Champaign_IL,2018,0.4476350249408782
Champaign_IL,2019,0.4284280050684119
Champaign_IL,2020,0.4471183505463139
Champaign_IL,2021,0.4434177538321918
Champaign_IL,2022,0.4261236096183179
Champaign_IL,2023,0.2798268165114043
Indore_MP,2000,0.3065708359043922
Indore_MP,2001,0.2923961392718286
Indore_MP,2002,0.2993258954193556
Indore_MP,2003,0.3020921950486098
Indore_MP,2004,0.3328662350584629
Indore_MP,2005,0.3211464628289591
Indore_MP,2006,0.3205051271805089
Indore_MP,2007,0.3426047970687624
Indore_MP,2008,0.3100939227090435
Indore_MP,2009,0.3199830617289234
Indore_MP,2010,0.352176010614566
Indore_MP,2011,0.3188008146210995
Indore_MP,2012,0.296001807861762
Indore_MP,2013,0.3000788962049292
Indore_MP,2014,0.3279467921924421
Indore_MP,2015,0.3378630605299196
Indore_MP,2016,0.3031139872073969
Indore_MP,2017,0.3301509306272034
Indore_MP,2018,0.3178822673798285
Indore_MP,2019,0.3148930367507907
Indore_MP,2020,0.3765203556039784
Indore_MP,2021,0.3534832722527712
Indore_MP,2022,0.3565523020176476
Indore_MP,2023,0.4154481622107667
Karnal_HR,2000,0.4220097017635653
Karnal_HR,2001,0.4515088790948797
Karnal_HR,2002,0.4541296251704176
Karnal_HR,2003,0.4586143625472
Karnal_HR,2004,0.4591116643778831
Karnal_HR,2005,0.4581890374814464
Karnal_HR,2006,0.470761510600782
Karnal_HR,2007,0.4716418490522219
Karnal_HR,2008,0.4547835228056237
Karnal_HR,2009,0.4534764033380261
Karnal_HR,2010,0.4410196869726115
Karnal_HR,2011,0.4520006829116935
Karnal_HR,2012,0.4429381073637622
Karnal_HR,2013,0.4830787769449792
Karnal_HR,2014,0.4633617620405316
Karnal_HR,2015,0.468149928270303
Karnal_HR,2016,0.4573442675817102
Karnal_HR,2017,0.468716283513156
Karnal_HR,2018,0.4841167129564915
Karnal_HR,2019,0.492391913263905
Karnal_HR,2020,0.4915325491996019
Karnal_HR,2021,0.4737982657643689
Karnal_HR,2022,0.4886955845346477
Karnal_HR,2023,0.6665984492179169
Lancaster_NE,2000,0.4029569279986658
Lancaster_NE,2001,0.3913885610499019
Lancaster_NE,2002,0.4063305004453404
Lancaster_NE,2003,0.4006344046913752
Lancaster_NE,2004,0.4074767352530602
Lancaster_NE,2005,0.3872351931944908
Lancaster_NE,2006,0.4241341302648665
Lancaster_NE,2007,0.3795048400483012
Lancaster_NE,2008,0.3914582160823687
Lancaster_NE,2009,0.4126062665946746
Lancaster_NE,2010,0.390443903422859
Lancaster_NE,2011,0.4062588138900543
Lancaster_NE,2012,0.3914238665155136
Lancaster_NE,2013,0.4219260438706431
Lancaster_NE,2014,0.4246650693647209
Lancaster_NE,2015,0.4331570930435236
Lancaster_NE,2016,0.4395487660349638
Lancaster_NE,2017,0.4438886525362544
Lancaster_NE,2018,0.4251055525503002
Lancaster_NE,2019,0.4269508863703125
Lancaster_NE,2020,0.4221971869534136
Lancaster_NE,2021,0.4265476087621626
Lancaster_NE,2022,0.3960327817612867
Lancaster_NE,2023,0.2162922940082013
Lubbock_TX,2000,0.2985703374366004
Lubbock_TX,2001,0.2766278512333198
Lubbock_TX,2002,0.289132690683571
Lubbock_TX,2003,0.2788388913061898
Lubbock_TX,2004,0.323279867098491
Lubbock_TX,2005,0.3376032404788979
Lubbock_TX,2006,0.2826240913983844
Lubbock_TX,2007,0.3362656868430074
Lubbock_TX,2008,0.307401107741253
Lubbock_TX,2009,0.2862861842392124
Lubbock_TX,2010,0.306580384920801
Lubbock_TX,2011,0.2417386277229727
Lubbock_TX,2012,0.2659213289555404
Lubbock_TX,2013,0.2673415938541951
Lubbock_TX,2014,0.2933289010155167
Lubbock_TX,2015,0.3256541621143818
Lubbock_TX,2016,0.3130298505619942
Lubbock_TX,2017,0.3147435886355447
Lubbock_TX,2018,0.2897953191362695
Lubbock_TX,2019,0.3327611047730179
Lubbock_TX,2020,0.2885326030937113
Lubbock_TX,2021,0.314824652964591
Lubbock_TX,2022,0.2712130620672916
Lubbock_TX,2023,0.2312068545868303
Raichur_KA,2000,0.3226612049763142
Raichur_KA,2001,0.2814029883124443
Raichur_KA,2002,0.3071084104123582
Raichur_KA,2003,0.3151313700421556
Raichur_KA,2004,0.3090028233924336
Raichur_KA,2005,0.3297789772781936
Raichur_KA,2006,0.3195368937253281
Raichur_KA,2007,0.3297364351803145
Raichur_KA,2008,0.3284507608746605
Raichur_KA,2009,0.3116112873190541
Raichur_KA,2010,0.3651188330049781
Raichur_KA,2011,0.3261030616432786
Raichur_KA,2012,0.3034807002432442
Raichur_KA,2013,0.3459137420968708
Raichur_KA,2014,0.3630941282543381
Raichur_KA,2015,0.3261564328127689
Raichur_KA,2016,0.3352818766299991
Raichur_KA,2017,0.3622597437314135
Raichur_KA,2018,0.2940430714520541
Raichur_KA,2019,0.330969587332453
Raichur_KA,2020,0.3862516634940772
Raichur_KA,2021,0.3906093069673128
Raichur_KA,2022,0.3843913194428409
Raichur_KA,2023,0.3823272893038117
Riley_KS,2000,0.4130700497245641
Riley_KS,2001,0.4091428085360418
Riley_KS,2002,0.4042611866114998
Riley_KS,2003,0.4231732791642352
Riley_KS,2004,0.4179772935340153
Riley_KS,2005,0.4119608502952217
Riley_KS,2006,0.4108408190788217
Riley_KS,2007,0.4138495983608146
Riley_KS,2008,0.4151140206038028
Riley_KS,2009,0.4168707393389178
Riley_KS,2010,0.4069595085977682
Riley_KS,2011,0.4044157162566518
Riley_KS,2012,0.4209447657011795
Riley_KS,2013,0.4272819835643328
Riley_KS,2014,0.4083877155637753
Riley_KS,2015,0.4324897710980863
Riley_KS,2016,0.4440917959013152
Riley_KS,2017,0.4426673391437541
Riley_KS,2018,0.4310306950031555
Riley_KS,2019,0.4291475084273172
Riley_KS,2020,0.4440626783372015
Riley_KS,2021,0.4445538377473777
Riley_KS,2022,0.4204840958501902
Riley_KS,2023,0.2983523346926322
Sitapur_UP,2000,0.3994634622891324
Sitapur_UP,2001,0.4029981347988864
Sitapur_UP,2002,0.4073856556301415
Sitapur_UP,2003,0.414196883826914
Sitapur_UP,2004,0.4399690217782362
Sitapur_UP,2005,0.4321304255581042
