YEAR,solar_mean,rain_total,humidity_mean,temp_mean,wind_mean,region
2017,19.35,-999.0,48.49,27.49,2.37,Ahmedabad_GJ
2018,19.23,-999.0,41.54,28.36,2.37,Ahmedabad_GJ
2019,18.98,-999.0,55.15,27.13,2.48,Ahmedabad_GJ
2020,19.54,-999.0,56.59,26.81,2.26,Ahmedabad_GJ
2021,18.81,-999.0,52.08,27.58,2.44,Ahmedabad_GJ
2022,19.59,-999.0,52.11,27.47,2.41,Ahmedabad_GJ
2023,18.69,-999.0,53.87,27.09,2.33,Ahmedabad_GJ
2024,18.55,-999.0,54.51,27.39,2.36,Ahmedabad_GJ
2025,-999.0,-999.0,-999.0,-999.0,-999.0,Ahmedabad_GJ
2000,18.59,-999.0,45.09,25.74,1.86,Sitapur_UP
2001,18.22,-999.0,42.84,26.31,1.75,Sitapur_UP
2002,18.24,-999.0,42.65,26.83,1.87,Sitapur_UP
2003,17.45,-999.0,51.32,25.54,1.83,Sitapur_UP
2004,18.17,-999.0,51.63,25.6,1.92,Sitapur_UP
2005,18.33,-999.0,51.23,25.62,1.93,Sitapur_UP
2006,18.43,-999.0,49.95,26.17,1.9,Sitapur_UP
2007,17.77,-999.0,53.21,25.48,1.96,Sitapur_UP
2008,17.23,-999.0,58.19,24.88,1.68,Sitapur_UP
2009,18.68,-999.0,53.38,25.72,1.95,Sitapur_UP
2010,17.76,-999.0,55.3,25.91,1.92,Sitapur_UP
2011,17.47,-999.0,58.09,24.98,1.79,Sitapur_UP
2012,17.99,-999.0,52.34,25.12,2.05,Sitapur_UP
2013,17.36,-999.0,59.55,24.73,2.01,Sitapur_UP
2014,17.87,-999.0,48.14,25.84,2.12,Sitapur_UP
2015,17.87,-999.0,47.44,26.14,1.96,Sitapur_UP
2016,17.57,-999.0,47.45,26.36,1.89,Sitapur_UP
2017,17.46,-999.0,49.55,26.21,1.88,Sitapur_UP
2018,17.08,-999.0,51.78,25.82,2.0,Sitapur_UP
2019,17.01,-999.0,57.93,25.26,1.93,Sitapur_UP
2020,17.0,-999.0,56.7,24.84,1.89,Sitapur_UP
2021,16.67,-999.0,55.94,25.2,1.94,Sitapur_UP
2022,17.12,-999.0,59.01,25.42,1.98,Sitapur_UP
2023,16.84,-999.0,56.21,25.43,1.87,Sitapur_UP
2024,16.79,-999.0,54.82,25.74,1.97,Sitapur_UP
2025,-999.0,-999.0,-999.0,-999.0,-999.0,Sitapur_UP
2000,18.59,-999.0,36.3,25.84,2.01,Karnal_HR
2001,18.54,-999.0,39.09,25.58,1.82,Karnal_HR
2002,18.33,-999.0,37.15,26.44,1.92,Karnal_HR
2003,17.72,-999.0,47.4,24.89,1.82,Karnal_HR
2004,18.26,-999.0,42.84,25.77,1.98,Karnal_HR
2005,18.27,-999.0,45.36,25.03,1.97,Karnal_HR
2006,18.26,-999.0,43.38,26.03,2.01,Karnal_HR
2007,18.37,-999.0,44.62,25.6,2.01,Karnal_HR
2008,17.69,-999.0,50.61,24.48,1.8,Karnal_HR
2009,18.76,-999.0,42.13,25.83,1.87,Karnal_HR
2010,17.58,-999.0,48.69,25.47,1.82,Karnal_HR
2011,17.76,-999.0,53.56,24.33,1.73,Karnal_HR
2012,17.81,-999.0,42.74,24.93,2.07,Karnal_HR
2013,17.65,-999.0,52.35,24.24,1.88,Karnal_HR
2014,17.8,-999.0,42.88,25.13,2.0,Karnal_HR
2015,17.53,-999.0,46.31,24.81,1.89,Karnal_HR
2016,17.57,-999.0,38.85,26.01,1.83,Karnal_HR
2017,17.69,-999.0,43.45,25.34,1.91,Karnal_HR
